,atom_seq2,dots-angle,planes-angle,dot_distance1,dot_distance2,dot_distance3
618,CCOH,100.99760920683893,175.52548288664406,1.001698557451295,1.8343663756185662,3.2411417741283737
608,CCc9c10,124.80829820500446,175.4010552881126,1.3913302986710272,2.590521183082667,3.8829112789246194
609,Cc9c10C,131.81652880962403,8.07060109471054,1.5366522052826388,2.6735930879623413,3.2959520627581944
611,c10CCC,100.58162982807993,177.10224328078363,1.531045394493573,2.353847913523728,3.785089166717211
610,c9c10CC,112.99061723956419,167.63804113721812,1.5286922515666754,2.5560125195311523,3.9087849774578296
396,CCCC,114.1144479778258,176.75466950689778,1.5333949262991493,2.5696108654813745,3.927709256042245
777,CCCO,113.5958237663298,146.59518789485531,1.3635615130972303,2.4177262045153056,3.689796742369421
767,CCCc9,106.78842573288,158.8665196836569,1.534014341523568,2.459451158287154,3.752998800959041
778,CCOH,108.63720502751484,7.36446689840755,0.9977975746613177,1.9298963702748486,2.341068132284921
768,CCc9c10,125.20817909663215,157.67063695614942,1.3891364223862321,2.596170256358393,3.770782412179214
769,Cc9c10C,120.77556619801642,0.5231861193858328,1.5249262277238238,2.5343440966056723,3.05439028285515
771,c10CCC,111.587662419721,177.18786715903767,1.5321227104902562,2.5339494864736354,3.815612663780218
770,c9c10CC,104.62242238486846,168.08527320191905,1.5318289721767198,2.4189460514860484,3.7363618668431946
84,CCCC,111.12041721587171,160.3646076275102,1.5274488534808621,2.516465775646471,3.835648576186301
1117,CCCO,120.63068793660962,73.46787416661292,1.36091880727691,2.5152335875619904,3.122963336320162
1107,CCCc9,102.69878987338654,175.46721779608052,1.5226621424334337,2.3870274401439073,3.848766036017255
1118,CCOH,109.97691437046382,11.43330292143105,1.0026963648084024,1.9467665499489124,2.522498761149343
1108,CCc9c10,123.88601550201015,171.7204825856595,1.3900719405843787,2.5711864965420177,3.732345107301847
1109,Cc9c10C,123.78589507670364,2.44676004570435,1.5300000000000027,2.576548078340476,3.090323607650172
1111,c10CCC,118.4695037846232,175.69422900338634,1.5292154851426267,2.633040068058217,3.9224992033141337
1110,c9c10CC,108.76173035053704,177.9281764151273,1.535057002198945,2.491605907843373,3.8243169324730437
312,CCCC,108.89281841303217,173.66422333201592,1.523351568089255,2.4834854539537754,3.846738878582741
797,CCCO,118.09718779709276,79.71821052440147,1.3687220316777224,2.482760560344071,3.038782650996942
787,CCCc9,105.7344607318881,168.98994120570703,1.5368148880070034,2.4428262320517162,3.8232054613896906
798,CCOH,102.87719105711024,172.64783612800613,1.0018482919085112,1.8676991192373538,3.2719107567291634
788,CCc9c10,123.59369288600797,149.14024568331334,1.3923002549737604,2.5822664463606295,3.720067203694037
789,Cc9c10C,124.12702622839221,18.299764523361077,1.5261389189716652,2.5791083730622892,3.12515599610643
791,c10CCC,103.95402081176239,167.51475733566485,1.523975065412815,2.4041630560342595,3.765248995750476
790,c9c10CC,109.24291748112908,161.43362609521296,1.5279070652366316,2.4901003995823143,3.802906782975361
705,CCCC,114.87299807255049,179.04631870849892,1.528234275234003,2.5818404288414083,3.9706548578288694
617,CCCO,115.79674172732089,168.1887156800456,1.357460864997586,2.4527943248466664,3.7704509014174974
607,CCCc9,113.90256462266989,170.64552215760986,1.5308167754502855,2.5604687070925136,3.807584536159378
618,CCOH,100.99760920683893,175.52548288664406,1.001698557451295,1.8343663756185662,3.2411417741283737
608,CCc9c10,124.80829820500446,175.4010552881126,1.3913302986710272,2.590521183082667,3.8829112789246194
609,Cc9c10C,131.81652880962403,8.07060109471054,1.5366522052826388,2.6735930879623413,3.2959520627581944
611,c10CCC,100.58162982807993,177.10224328078363,1.531045394493573,2.353847913523728,3.785089166717211
610,c9c10CC,112.99061723956419,167.63804113721812,1.5286922515666754,2.5560125195311523,3.9087849774578296
864,CCCC,112.48206571707266,168.25406321048322,1.5289538907370606,2.5488036409264643,3.8818294655999463
837,CCCO,115.40717310658073,173.3366248380524,1.3562816816576027,2.445506082593125,3.7643193275810125
827,CCCc9,111.6339825863673,166.26647509608236,1.5269250145308397,2.5314817795117546,3.859157939240112
838,CCOH,118.89294242957861,2.073733875389583,1.0042410069301093,2.0406371554002347,2.551117402237688
828,CCc9c10,125.82843978560413,173.00771699920855,1.3924798023669884,2.5999423070522236,3.866807468700767
829,Cc9c10C,120.73283320130939,9.993004059955789,1.5292154851426298,2.540452715560752,3.0767515336796407
831,c10CCC,109.40988013957256,176.7688766898696,1.526728528586532,2.496677792587582,3.8217927730320507
830,c9c10CC,107.0676503212653,178.27931843847435,1.5322206107476801,2.462031681355868,3.7844154106017487
676,CCCC,117.64604853170178,89.59741317554989,1.5253524182955251,2.6169829957414743,3.452810449474461
757,CCCO,114.92605200178359,122.27702426233351,1.3606616037795745,2.435836611926179,3.498728340411706
747,CCCc9,112.3963750874386,110.89617597699593,1.5343076614551645,2.5451718998920296,3.499214197502063
758,CCOH,106.59677188894106,2.102079870724281,1.004241006930102,1.9080094339389324,2.3298927013920583
748,CCc9c10,124.7778333839657,170.66907812018056,1.390827092057101,2.592855568673282,3.8674410144176767
749,Cc9c10C,118.11535961126894,1.465403898137177,1.5281688388394776,2.5045758123882003,2.9876077386430846
751,c10CCC,112.01472200824806,175.3621146238851,1.5272524349301322,2.5334956088377205,3.820798345895792
750,c9c10CC,105.18486930992799,165.2192016007538,1.5284305676084784,2.4279621084357914,3.7224454327766834
714,CCCC,109.91463715945879,172.77021524438365,1.5370100845472663,2.5094620937563406,3.8928909566028214
577,CCCO,112.77297655607599,78.31612705529395,1.3634148304899738,2.4093360081151,3.125475963753361
567,CCCc9,115.08772745419446,74.6468689251389,1.532318504750238,2.583137626995511,3.2283277404873267
578,CCOH,107.41501391433401,13.589879821425507,1.006230589874907,1.921613905028791,2.3164196510995154
568,CCc9c10,119.19054814288847,161.76039767432218,1.3809055000252508,2.5137422302217076,3.832453522223066
569,Cc9c10C,130.89806372450255,2.216164483905026,1.5271542161811968,2.6458458004955565,3.1338315206787977
571,c10CCC,111.48703604185899,136.49340321749523,1.5280706789936143,2.5286557693762926,3.6340748478808207
570,c9c10CC,102.7346751234029,174.71275823403664,1.5313066316058326,2.3891630333654503,3.7538779948208174
992,CCCC,109.36998187276522,171.56878392928363,1.5265975239073366,2.4912848090894717,3.8726476731042734
